month,practice,pct,chemical_code,chemical,carbonate,citrate,total_lithium,total_cost
2010-08-01 00:00:00+00:00,Y00417,RYG,0402030K0,Lithium Carbonate,5,0,5,1.6800000000000002
2010-08-01 00:00:00+00:00,Y02587,09W,0402030K0,Lithium Carbonate,1,0,1,1.1
2010-08-01 00:00:00+00:00,J82612,10X,0402030K0,Lithium Carbonate,4,0,4,12.209999999999999
2010-08-01 00:00:00+00:00,Y00988,RRF,0402030P0,Lithium Citrate,0,1,1,5.19
2010-08-01 00:00:00+00:00,P88628,01W,0402030P0,Lithium Citrate,0,1,1,15.52
2010-09-01 00:00:00+00:00,K81666,10G,0402030K0,Lithium Carbonate,1,0,1,3.08
2010-09-01 00:00:00+00:00,Y01635,5A5,0402030K0,Lithium Carbonate,1,0,1,0.15
2010-09-01 00:00:00+00:00,J82612,10X,0402030K0,Lithium Carbonate,3,0,3,2.92
2010-09-01 00:00:00+00:00,Y02241,RYG,0402030K0,Lithium Carbonate,9,0,9,27.099999999999998
2010-09-01 00:00:00+00:00,Y02407,RYG,0402030K0,Lithium Carbonate,2,0,2,1.23
2010-09-01 00:00:00+00:00,Y01083,00Y,0402030P0,Lithium Citrate,0,1,1,3.47
2010-09-01 00:00:00+00:00,J83627,99N,0402030K0,Lithium Carbonate,10,0,10,19.12
2010-09-01 00:00:00+00:00,Y00496,5PV,0402030K0,Lithium Carbonate,1,0,1,0.57
2010-09-01 00:00:00+00:00,Y00419,RYG,0402030K0,Lithium Carbonate,1,0,1,1.76
2010-09-01 00:00:00+00:00,J82607,10X,0402030K0,Lithium Carbonate,7,0,7,9.0
2010-09-01 00:00:00+00:00,Y01156,15E,0402030K0,Lithium Carbonate,2,0,2,4.88
2010-09-01 00:00:00+00:00,Y02595,99A,0402030K0,Lithium Carbonate,2,0,2,2.04
2010-09-01 00:00:00+00:00,Y02695,RYG,0402030K0,Lithium Carbonate,2,0,2,0.79
2010-09-01 00:00:00+00:00,L84620,11M,0402030K0,Lithium Carbonate,1,0,1,0.18
2010-09-01 00:00:00+00:00,F82657,08F,0402030K0,Lithium Carbonate,1,0,1,3.48
2010-09-01 00:00:00+00:00,Y02241,RYG,0402030P0,Lithium Citrate,0,1,1,19.3
2010-09-01 00:00:00+00:00,Y00943,00D,0402030K0,Lithium Carbonate,2,0,2,0.4
2010-09-01 00:00:00+00:00,N81104,02F,0402030K0,Lithium Carbonate,8,0,8,8.84
2010-09-01 00:00:00+00:00,H82625,09G,0402030K0,Lithium Carbonate,2,0,2,7.72
2010-09-01 00:00:00+00:00,G82813,NQ7,0402030K0,Lithium Carbonate,1,0,1,0.15
2010-09-01 00:00:00+00:00,M91039,05Y,0402030K0,Lithium Carbonate,5,0,5,5.7700000000000005
2010-09-01 00:00:00+00:00,E83667,07M,0402030K0,Lithium Carbonate,6,0,6,6.069999999999999
2010-09-01 00:00:00+00:00,G83069,08A,0402030K0,Lithium Carbonate,9,0,9,15.780000000000001
2010-09-01 00:00:00+00:00,C87019,03L,0402030K0,Lithium Carbonate,4,0,4,6.11
2010-09-01 00:00:00+00:00,D82620,06W,0402030K0,Lithium Carbonate,8,0,8,7.91
2010-09-01 00:00:00+00:00,Y01866,15E,0402030K0,Lithium Carbonate,1,0,1,4.29
2010-09-01 00:00:00+00:00,Y02234,RYG,0402030K0,Lithium Carbonate,2,0,2,4.23
2010-09-01 00:00:00+00:00,Y01783,01D,0402030K0,Lithium Carbonate,1,0,1,2.62
2010-09-01 00:00:00+00:00,Y00049,11N,0402030K0,Lithium Carbonate,4,0,4,2.71
2010-09-01 00:00:00+00:00,Y00195,NW0,0402030K0,Lithium Carbonate,2,0,2,2.7800000000000002
2010-09-01 00:00:00+00:00,K81632,11D,0402030K0,Lithium Carbonate,3,0,3,10.79
2010-09-01 00:00:00+00:00,Y01660,09Y,0402030K0,Lithium Carbonate,1,0,1,2.15
2010-09-01 00:00:00+00:00,Y00650,00J,0402030K0,Lithium Carbonate,1,0,1,0.23
2010-09-01 00:00:00+00:00,P81677,01A,0402030K0,Lithium Carbonate,4,0,4,5.96
2010-09-01 00:00:00+00:00,Y00623,RWX,0402030K0,Lithium Carbonate,3,0,3,0.6
2010-09-01 00:00:00+00:00,Y00183,08F,0402030K0,Lithium Carbonate,2,0,2,3.91
2010-09-01 00:00:00+00:00,Y02365,04C,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-09-01 00:00:00+00:00,P81629,00R,0402030K0,Lithium Carbonate,4,0,4,12.68
2010-09-01 00:00:00+00:00,P88628,01W,0402030P0,Lithium Citrate,0,2,2,31.04
2010-09-01 00:00:00+00:00,Y02247,RYG,0402030K0,Lithium Carbonate,4,0,4,1.7799999999999998
2010-09-01 00:00:00+00:00,Y01897,15M,0402030K0,Lithium Carbonate,2,0,2,4.88
2010-09-01 00:00:00+00:00,F85037,07X,0402030K0,Lithium Carbonate,1,0,1,3.21
2010-09-01 00:00:00+00:00,F83685,5K7,0402030K0,Lithium Carbonate,3,0,3,1.0999999999999999
2010-09-01 00:00:00+00:00,K84615,10Q,0402030K0,Lithium Carbonate,2,0,2,3.37
2010-09-01 00:00:00+00:00,C85627,02P,0402030K0,Lithium Carbonate,3,0,3,4.14
2010-09-01 00:00:00+00:00,Y00622,NTP,0402030K0,Lithium Carbonate,3,0,3,0.79
2010-09-01 00:00:00+00:00,Y02565,03N,0402030K0,Lithium Carbonate,2,0,2,1.23
2010-09-01 00:00:00+00:00,K82638,14Y,0402030K0,Lithium Carbonate,2,0,2,1.1400000000000001
2010-09-01 00:00:00+00:00,J83634,12D,0402030K0,Lithium Carbonate,1,0,1,1.76
2010-09-01 00:00:00+00:00,F83630,08H,0402030K0,Lithium Carbonate,1,0,1,2.62
2010-09-01 00:00:00+00:00,Y00824,00D,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-09-01 00:00:00+00:00,C81079,15M,0402030K0,Lithium Carbonate,3,0,3,4.34
2010-09-01 00:00:00+00:00,P84646,14L,0402030K0,Lithium Carbonate,4,0,4,3.7
2010-09-01 00:00:00+00:00,Y02615,15E,0402030K0,Lithium Carbonate,1,0,1,2.15
2010-09-01 00:00:00+00:00,P88033,01W,0402030K0,Lithium Carbonate,2,0,2,2.54
2010-09-01 00:00:00+00:00,Y02758,R1F,0402030K0,Lithium Carbonate,1,0,1,2.15
2010-09-01 00:00:00+00:00,Y01083,00Y,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-09-01 00:00:00+00:00,Y02591,14L,0402030K0,Lithium Carbonate,1,0,1,0.22
2010-09-01 00:00:00+00:00,N85638,RY7,0402030K0,Lithium Carbonate,2,0,2,0.32
2010-09-01 00:00:00+00:00,Y00737,RYF,0402030K0,Lithium Carbonate,3,0,3,0.5700000000000001
2010-09-01 00:00:00+00:00,Y00071,15N,0402030K0,Lithium Carbonate,1,0,1,0.65
2010-09-01 00:00:00+00:00,Y00384,02X,0402030K0,Lithium Carbonate,1,0,1,1.33
2010-09-01 00:00:00+00:00,Y02081,06T,0402030K0,Lithium Carbonate,1,0,1,0.47
2010-09-01 00:00:00+00:00,P88628,01W,0402030K0,Lithium Carbonate,1,0,1,0.65
2010-09-01 00:00:00+00:00,Y02068,AC0,0402030K0,Lithium Carbonate,1,0,1,0.1
2010-09-01 00:00:00+00:00,Y00417,RYG,0402030K0,Lithium Carbonate,8,0,8,4.16
2010-09-01 00:00:00+00:00,Y00434,01C,0402030K0,Lithium Carbonate,1,0,1,2.15
2010-09-01 00:00:00+00:00,C85600,5JE,0402030K0,Lithium Carbonate,3,0,3,7.66
2010-09-01 00:00:00+00:00,D82615,06Y,0402030K0,Lithium Carbonate,2,0,2,4.06
2010-09-01 00:00:00+00:00,M91605,05Y,0402030K0,Lithium Carbonate,1,0,1,1.76
2010-09-01 00:00:00+00:00,B83690,209,0402030K0,Lithium Carbonate,1,0,1,2.16
2010-09-01 00:00:00+00:00,M83019,05G,0402030K0,Lithium Carbonate,2,0,2,1.52
2010-09-01 00:00:00+00:00,P81705,01E,0402030K0,Lithium Carbonate,4,0,4,5.96
2010-09-01 00:00:00+00:00,Y00601,5P7,0402030K0,Lithium Carbonate,1,0,1,0.1
